,Job Title,Job Description,Company Name,Location
237,Data Scientist,"Introduction
We’re looking for a talented, independent and innovative person to join our team in Calgary, Edmonton, Vancouver, Victoria or Toronto! As a Data Scientist, you’ll be managing the data pipeline, database, and methodologies of LoKnow’s newest data product, RainBarrel. Reporting to the Product Manager, this is an exciting opportunity to lead a new adtech product in a fast-growing industry from the ground up.

Company
We’re LoKnow – an advertising-tech and data company that helps brands deliver their message to the right audience, in the right place, at the right time. With five offices across Canada, we help clients, both in Canada and internationally, experience the extraordinary benefits of digital advertising technology. Our Vision is for everyone to access, benefit from, and love the vast world of digital advertising.","LoKnow
5.0",Midtown Toronto
238,Data Scientist,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.
Job Description
Job Summary (Primary purpose of this Role):
Manulife ’s bold ambition i s to become a digital, customer leader. As part of this ambition, we have made a significant investment in Advanced Analytics and AI capabilities. Recently, we have created the Advanced Customer Analytics Centre of Expertise.
The purpose of this team is to research , build , and deliver cutting edge capabilities to better know our customer, understand their financial and health needs and objectives, and create personalized experiences.","Manulife
4.0",Midtown Toronto
239,Aerodynamicist/Data Scientist,"Company Overview
GiBLI Tech has developed a patent pending, cutting edge aerodynamic sensor for cycling and triathlon applications. As part of the growing GiBLI team in Halifax Nova Scotia, you will be a key player in advancing this technology for a global market.

Responsibilities
As the Aerodynamicist/Data Scientist your primary role will be to improve existing algorithms, lead experimental design setup for R&D, and data processing.",GiBLI Tech,Halifax
240,Data Scientist,"The Company You’ll Join
At Carta we create owners and make private markets liquid.
We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they’ve managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.
At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.","Carta
3.9",Waterloo
241,Data Scientist,"Summatti is on a mission – to rid the world of annoying feedback surveys and terrible customer service experiences. Our AI powered platform analyzes calls/chat/emails in real-time and is helping businesses improve their customers’ experience with every interaction! Based out of Waterloo, ON, we are a uniquely Canadian start-up founded by professionals who have years of industry experience, and a board of investors who have a proven track record of success.
We are looking for a Data Scientist on our team who can help us scale our operations to the next level. You will be working with a fantastic team of highly skilled engineers to plan, build and grow our product to new use cases. The opportunity is specifically for those who enjoy taking on a challenge of building new systems/processes and grow with the company to take on a leadership position.
Who are we looking for?",Summatti,Waterloo
242,Data Scientist - 05/12/21,"Acerta’s machine learning platforms leverage automotive assembly and vehicle data to detect the earliest indicators of future product failures. We help automakers optimize quality, safety, and reliability throughout the entire product life cycle, from the assembly line to the finish line.

As an integral part of the data science team at Acerta, you will productize, deploy, maintain, and monitor machine learning models running behind Acerta’s LinePulse and AutoPulse products. Our LinePulse SaaS platform enables automakers to identify anomalies in production data for enhanced testing, accelerated root cause analysis, and improved manufacturing output. Acerta’s AutoPulse SaaS platform enables predictive maintenance of connected and autonomous vehicles based on production, maintenance, and on-road data.","Acerta Analytics Solutions Inc
4.1",Kitchener
243,Data Scientist,"Description & Requirements
Description
Data science is a crucial part of UKG. Our team builds statistical and machine learning models that support product features across the company, with the goal of empowering thousands of organizations and millions of employees to thrive. We tackle problems in the fields of machine learning, natural language processing, document processing, sociology, and statistics... and we're just getting started. We’re looking for data scientists to join the team and help us grow. This position requires a strong mathematical foundation, an analytical mindset, and an ability to work cross-functionally to bring a product feature from concept through to release. We work in small teams with daily stand-ups, regular releases, and a culture of ownership.

As part of the data science team, you will collaborate to:","UKG (Ultimate Kronos Group)
4.1",Remote
244,"Data Scientist, Fall 2021 Student Opportunities (8 Months Only)","What is the opportunity?
Who wouldn't want to be a part of a fantastic team of Data Scientists? At RBC, our Data Science teams offer the opportunity to leverage RBC’s data assets to develop innovative solutions in support of RBCs big data strategy. This position is an essential part to the bank as you develop next-generation applications to meet our customers’ needs. By joining the RBC team as a Data Scientist, you will have the opportunity to analyze, design and implement data solutions to assist all business customers.

Please only apply if you are available for 8 months.

What will you do?","RBC
4.1",Ontario
245,Data Scientist - Innovation & Attributes,"Synopsis of the role

As a Data scientist, in this role, you will work closely with business stakeholders to understand their goals and determine how data can be used to achieve those goals. You will be tasked with designing data modeling processes, create algorithms and predictive models to extract the data the business needs, help analyze the data and share insights with peers.

Who is Equifax?

At Equifax, we believe knowledge drives progress. As a global data, analytics and technology company, we play an essential role in the global economy by helping employers, employees, financial institutions and government agencies make critical decisions with greater confidence.






CAN-Toronto-5700 Yonge
Function - Data and Analytics
Full time","Equifax
3.6",Midtown Toronto
246,"Data Scientist, Machine Learning","The Company You'll Join

At Carta we create owners and make private markets liquid.

We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they've managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.

At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.

To learn more, here is what one of our investors wrote about leading our Series F.
The Team You'll Work With

Our mission is to enable data-driven decisions and products across Carta by collecting accurate data, building scalable infrastructure and delivering advanced analytics. This is a foundational role in Carta's fast-growing Data Organization, working on one of the world's most valuable data sets at one of the fastest-growing FinTech companies of all time. The team consists of experts in product analytics, machine learning and data engineering. We partner with each other and Cartan's across the company to solve impactful problems. Our team strongly believes that being helpful accelerates results and we support one another to be successful at Carta.
The Problems You'll Solve

As a Data Scientist, ML at Carta, you'll partner with domain experts across the company to analyze and explore Carta's proprietary data set. You will build statistical models that power new products and accelerate Carta's business. Examples of responsibilities will include:

Perform exploratory analyses to understand the dynamics of private markets and ownership
Develop machine learning models to power new financial products and to extract trends from performance of existing products
Automate monitoring of data distributions to detect and flag anomalies
Partner with product managers, engineers, and business teams to incorporate data-driven insights into decision-making
Own, coordinate, and solve complex, cross-functional problems that extend beyond the traditional boundaries of product, analytics, and data science

The Impact You'll Have

You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality. Your work will empower leaders across the company to make good product decisions and optimize operational efficiency. Additionally, you will have the opportunity to set best practices for integrating our ML models into production helping Carta's current and future data scientists.
About You

Candidates must have a strong foundation in statistics, be proficient in SQL and Python, and have an analytical mindset. You have a strong bias towards simplicity, are excited by ""zero to one"" projects, and can efficiently communicate findings to leadership. Example traits that we value:

2+ years of industry experience solving complex data problems with descriptive and predictive models
Proficiency with modern programming languages (Python, R, SQL, etc.) and datastores (Redshift or similar)
A deep understanding of modern statistical and machine learning models, when to apply them, and how to evaluate their performance
Strong written and verbal communication skills, with a particular emphasis on data visualization
A collaborative attitude and a helpful personality","Carta
3.9",Waterloo
247,Data Scientist,"OPENTEXT - THE INFORMATION COMPANY

As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.

The Opportunity:
The AI Data Scientist will focus on business analysis, data analysis, and model building in support of the delivery of AI and Analytics to our OpenText teams. This individual will be a professional that is self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, dynamic environment.

You are great at:
Working with business teams in all parts of the business to gather conceptual business needs, translate them into clear functional business requirements
Create process models, diagrams, charts, PowerPoint presentations
Work with technical teams and/or study relational database tables to create Technical Data Requirements from the Business Requirements
Build data models in Python or R using a Magellan Notebook
Work with application support, product management, and engineering teams on quarterly upgrades and feature requests for Magellan product suite
Self-motivated and driven to accomplish company goals and who is comfortable multitasking in a fast-paced, matrixed environment
Perform data preparation, linkage, and feature selection
Calculating model accuracy
Reporting and visualizing results/insights
Provide end-user support and training as needed


Bachelor’s degree in Computer Science, Engineering, Business or equivalent experience
5 + years of proven abilities related to data analysis, reporting, analytics, and data modeling
Experience working with data in databases
Experience with SQL, Python, and R
Excellent listening, interpersonal, written, and oral communication skills
Experience with OpenText Magellan preferred
Experience working in a complex, matrix, fast-paced environment
Attention to detail with emphasis on accuracy and quality
Ability to prioritize work to balance multiple projects and deadlines
The ability to work independently, as part of a team, and cross-functionally within the organization

At OpenText we understand and value diversity in our employees and are proud to be an Equal Opportunity Employer. We hire the best talent regardless of race, creed, color, national origin, ancestry, disability, marital status, sex, age, veteran status or sexual orientation. If you require accommodation at any time during the recruitment process please email accommodationrequests@opentext.com. Applicants have rights under Federal Employment Laws including but not limited to: Family and Medical Leave Act (FLMA) , Equal Employment Opportunity and Employee Polygraph Protection Act","opentext
3.5",Waterloo
248,Data Scientist,"Dawn InfoTek Inc. is a professional IT consulting team that partners with major financial institutions, investment firms and government sectors. We have been dedicated in delivering cutting-edge consulting services and recruiting all levels of IT positions for our clients.
We are looking for a meticulous and enthusiastic Data Scientist to join our dynamic team to work at our bank client.
Type: Contract / Permanent
Location: Toronto
Requirements
Must-have:","Dawn InfoTek Inc.
4.1",Midtown Toronto
249,Deep Learning / Data Science Intern,"Job Duties and Responsibilities:
Your main objectives will be the design and implementation of a deep-learning based framework that uses mobile sensor data to perform user-authentication. Apart from the raw sensor data itself, certain high-level aspects related to the user like the walking patterns, phone handling, daily life events, etc. would help identify the real user of the device. Depending on the duration of the internship, you might additionally have the opportunity to gain a first-hand experience of deploying the framework you develop, on a device (mobile phone) and evaluate real-time performance. Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology.
At Zighra, we're creating something new, something connected, and something with global impact. Zighra has been granted several patents in the sensor based authentication space with over 100+ citations from organizations like Google, Paypal ,Square, IBM, MS, Intel, Mastercard, Blackberry and Alibaba among others. We're a small team with big goals.",Zighra (Techstars company),Ottawa
250,Data Scientist,"Spare is looking for a Data Scientist to join the growing Data Science team!
If you love numbers, and you love making a change, this could well be the job for you.
Think of the Data Science team as a ‘startup within a startup’: it questions assumptions, explores alternative solutions, and keeps Spare on the cutting edge.
You’ll be working with a talented and motivated team that puts mobility data to good use, making a positive impact on lives across the globe.
*
Location: this person can be based anywhere on the east side of Canada*
*
✨What you’ll do* ✨","Spare Labs
4.9",Midtown Toronto
251,Associate Data Scientist,"PointClickCare is the leading North American cloud-based healthcare software for the acute and long-term and post-acute care markets. For over 20 years, the company has held the same vision – to help the world care for vulnerable populations. Since its inception, PointClickCare has grown exponentially with over 1,700 employees today all working towards impacting the lives of millions. Recognized by Forbes as one of the Top 100 Private Cloud Companies and acknowledged by Waterstone Human Capital as Canada’s Most Admired Corporate Culture, PointClickCare leads the way in creating cloud-based software. With its recent acquisition of Collective Medical, PointClickCare solidifies its position as a high growth healthcare software provider, serving over 21,000 long-term and post-acute care providers and over 1,300 hospitals. Their shared mission to support vulnerable populations is allowing PointClickCare and Collective Medical to connect disparate points of care at scale faster than anyone else in the market.

For more information on PointClickCare, please connect with us on Glassdoor and LinkedIn.","PointClickCare
4.3",Remote
252,Data Scientist,"Company Description

Cardinal Path, part of dentsu, is a leading digital analytics and digital marketing firm focused on delivering insight, understanding and outcomes that create competitive advantage for our clients. We engage at the strategic, business, and technical levels to generate tangible and quantifiable value for our partners. Our clients include brands such as Bridgestone, Johnson and Johnson, Pfizer, Asics and hundreds of others. Cardinal Path’s mission is: To know. To Share. To be our Partners’ competitive advantage. And our company culture reflects the importance of our people’s’ expertise, wellness and happiness in everything we do.

Job Description

The Data Science Consultant (Data Engineer) will have proven expertise in system architecture, database design, data integrations, and be an expert in SQL and Python. Experience with delivering in big data platforms such as Google BigQuery, Microsoft Azure SQL DB/Synapse, or Amazon Redshift is essential. Expertise with traditional RDBMS platforms such as SQL Server or Oracle and NoSQL and Hadoop environments would complement. Data integration experience using ETL platforms such as AirFlow, Talend, Alteryx, or Fivetran is important.","Cardinal Path
3.4",Midtown Toronto
253,Data Scientist,"Introduction
Have you heard about the IBM Garage? It's a cross-functional team that delivers a unique client co-creation experience to accelerate client transformation. We use Enterprise Design Thinking, our industry-leading IBM Garage Methodology and IBM's multidisciplinary experts in full speed from the start. We design, develop, test, and deliver solutions. Startup speed. Enterprise scale. We apply user-centric approaches to ensure all features add value for the user and achieve desired client impact.

Your Role and Responsibilities
As a Data Scientist working at the IBM Garage, you will be the Subject Matter Expert on Data and AI Statistical models and IBM’s leading edge analytic solutions and how they apply to solve the client’s business problems.
As part of the IBM Garage team, you will advise on and implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches using IBM Data Science capabilities utilizing open source.
To be successful in this role you:
IBMReferred_NorthAmerica

Required Technical and Professional Expertise
At least 1- 4 years as a Data Scientist with a deep understanding of Statistics and statistical practices, NLP/NLU, supervised and unsupervised learning and deep learning,

Preferred Technical and Professional Expertise

About Business UnitIBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.","IBM
3.9",Montreal
254,Data Scientist,"About Guestlogix:
We take the stress out of travelling for passengers. With our platform, airlines can deliver content that lets passengers tailor their trip uniquely for themselves. This includes items and services for travelers throughout their whole trip, like priority boarding or lounge access, a tour of the Eiffel Tower if you’re in Paris, or a personalized whiskey tour if you’re in Dublin.
This approach to the travel experience transforms how airlines provide value to their passengers and drives ancillary revenue through every stage of the customer journey. The vision for our platform will deliver on this promise by leveraging AI to offer an extensive inventory of personalized, high-demand and custom curated content - including offers for pre, during and post travel - through an intuitive, customer centric interface delivering benefits for passengers and airlines. And we need your help to make this vision a reality.","Guestlogix
2.6",Remote
255,Data Scientist,"Why join us?

Are you looking to join an innovative, global real estate company who builds communities and connects people to exceptional places? If so, we would love to tell you our story.

At Oxford, our culture is truly one of a kind. Across business lines and around the world, we embrace the complex and tackle opportunities with speed and agility. We are ambitious and humble, forward looking and service-focused. We get stuff done, and have fun doing it! We take great pride in contributing to the communities where we live. We believe that what is good for the environment is good for business. Together we deliver exceptional experiences to our over 2 million daily customers.
This is an exciting opportunity to join the stellar Oxford properties team to harness the power of our data to transform the company’s investment process, operational efficiency, and end user experience.

If you want a front row seat to reshaping the real estate industry, then this is the role for you. We are looking for a strategic mind capable of conceiving the art-of-the-possible, fused with the ability to creatively use data in order to solve sophisticated business problems.

As a best-in-class real estate organization, Oxford has an ambitious plan to develop and leverage digital & analytic capabilities across the real estate value chain across acquisition, development, operations, and disposition at a global scale.

Commercial Real Estate is a $200 Trillion industry that is larger than the public equities and bond market combined, and yet is only just being disrupted by technology.


Being part of a hardworking Data team reporting to the Senior Director of Advanced Analytics and working across all our departments to champion a data-driven decision-making culture
Using your business acumen and technical expertise to identify new opportunities to use data in order to meet key business objectives
Cultivating positive relationships amongst business partners and cross-functional delivery teams from conceptualization and experimentation to production and oversight
Delivering analytics and machine learning (ML) projects driving a number of key business outcomes, from fine-tuning investment decisions to data-driven products allowing us to better manage our buildings
Crafting and overseeing a range of analytical and ML models (statistical modelling, NLP, spatial metrics, knowledge graphs, IoT analytics etc.) conducting model training, validation, testing, integrated reconciliations and ongoing data and model integrity maintenance
Working closely with the data platforms team to integrate new data sources in your analysis as well as operationalizing models
Driving analytics innovation and develop thought leadership, redefining how data is used across the global real estate industry


Experience as a curious, detail-orientated data scientist with a consistent track record in delivering analytical and ML projects in a commercial setting
2-4 years’ experience working as a Data Scientist or Machine Learning Engineer
A proven grasp of the practical and theoretical aspects of statistical and ML such as data structures, algorithms, gradient descent, probability theory, linear algebra, calculus, hypothesis testing, and more
Strong Python programming skills
Excellent git skills
The ability to write performant SQL and have solid ETL/ELT experience
Experience with framework such as TensorFlow, Keras, PyTorch, MxNet and the scikit learn library
A solid understanding of running ML applications and implementing model tracking, updating, and auto-train capabilities in addition to accounting for drift and imbalance
The ability to visualize your data and build reports using dedicated BI tools (experience of PowerBI a plus)
The ability to quickly build a solid understanding of the industry and competitive landscape in order to see opportunities for data-driven change and are commercially minded
Excellent communication and data visualization skills, with the ability to translate sophisticated analytical concepts to a non-data fluent audience
The ability to work your way through ambiguity as well as influence multiple technical and business partners


Experience with application development
Experience with different mapping libraries and tools like Kepler.gl, ArcGIS and Map Box
Experience implementing pre-built models at scale along with retraining and implementing a custom deep-learning architecture is a strong plus
A solid understanding of Microsoft Azure Analytics & Data Science stack
Previous work experience in an agile-cross functional team applying product management and human centered design principles
Experience working in the financial sector or exposure to the real estate industry
An active participation in the data science community via hackathons, meetups, Kaggle competitions etc.


Oxford Properties Group connects people to exceptional places, and is the owner, developer and manager of some of the world’s best real estate assets. Established in 1960, it manages approximately C$60 billion of assets across the globe on behalf of its co-owners and investment partners. Oxford’s portfolio encompasses office, retail, industrial, hotels and multifamily residential and spans more than 100 million square feet in global gateway cities across four continents. A highly disciplined and thematic investor, Oxford invests in properties, portfolios, development sites, debt, securities and platform opportunities across the risk-reward spectrum. With its global headquarters in Toronto, Oxford operates out of over 15 regional offices including New York, London, Luxembourg, Singapore and Sydney. Its long-term approach to real estate investment aligns Oxford’s interests to its customers and the communities in which it operates. Oxford is owned by OMERS, the defined benefit pension plan for Ontario's municipal employees.

OMERS is committed to having a workforce that reflects the communities in which we live and work. We are an equal opportunity employer committed to a barrier-free recruitment and selection process. At OMERS inclusion and diversity means belonging. How we create a sense of belonging is through our employees and our vast network of Employee Resource Groups. Whether you are passionate about gender, pride, or visible minorities, we have groups that are focused on making a difference in all of our lives.","Oxford Properties
4.0",Midtown Toronto
256,Data Scientist,"Data Scientist - ( 210001H9 )
Description
At Stantec, we approach every water, power and industrial process project we undertake—whether at the local, regional, or national level— thoughtfully, and execute it with excellence across all project phases. We partner with our clients to design fit-for-purpose solutions that address their communities’ unique needs throughout the related infrastructure lifecycle. Our experts lead their fields and guide our work with scientific rigor, an innovative spirit, and a vision for growth. We’re a place where you can apply your passion and collaborate with top talent on work that’s critical to our clients, our communities, and the industry at large.
Your Opportunity","Stantec
3.8",Burnaby
257,Data Scientist,"Transforming the Future with the Convergence of Simulation and Data
Data Scientist:
Do you like a challenge, are you a complex thinker who likes to solve problems? If so, then you might be the new Altairian we are searching for. At Altair, your curiosity matters. We pride ourselves on a business culture that enables open, creative thinking, and we deeply value our employees and their contributions towards our clients' success, as well as our own.
Job Summary:
The goal of the data scientist is to provide impactful analytics for clients using available data. The data scientist works alongside project managers, ETL professionals, relationship managers and sales managers to serve a diverse group of clients. The role is client-facing and calls for a mixture of technical, business and people skills.","Altair Engineering
4.2",Midtown Toronto
258,Data Scientist,"Overview:
The Data Scientist will advance the Faculty of Mathematics’ use of data to inform strategic and operational decision-making by Faculty leadership. The Data Scientist is responsible for sourcing, understanding, consolidating, and analyzing student and other data about the Faculty of Mathematics; for effectively communicating analyses and findings; and for making related recommendations to Faculty leadership. The Data Scientist will maintain a robust understanding of data systems and of University and Faculty policies and practices to be able to understand the needs of a variety of clients across the Faculty and to independently design and develop effective data solutions.
Responsibilities:
Data Acquisition and Management
Understand the available data, systems, dictionaries, and distribution channels from multiple information systems across the University and involving multiple domains
Qualifications:
Equity Statement:","University of Waterloo
4.4",Waterloo
259,Data Scientist II,"TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
What does TD stand for? For starters, we believe in visionary leadership and insights. We believe in using every resource at our disposal to better serve our clients, and for almost every department, that begins with data. As part of our Data & Analytics (D&A) team, you'll be a fundamental part of crafting business processes enterprise-wide by analyzing vast amounts of past and present data.

TD's vision for the future? Tailored, customized banking products, services and experiences for every single customer. If you've been in business as long as we have, you know there's no such thing as one size fits all, and a diverse, inclusive D&A team is a massive part of that future achievement.","TD Bank
4.0",Midtown Toronto
260,Data Scientist,"Our telecom client, Bell Canada, is looking for a Data Scientist to utilize their analytical, statistical, and programming skills to analyze and interpret large data sets. The ideal candidate would have a minimum of 2 years experience in this field.
Key Responsibilities and Job Duties:
Work with stakeholders throughout organization to identify opportunities for leveraging data to drive business solutions
Develop data science programming techniques using ML/AI
Interfaces and processes using various ETL and SQL tools and technologies
Troubleshoot and performance tune the data ingress and egress process and build internal controls and checks to maintain data quality","MSi Corp (BELL Canada)
3.2",Midtown Toronto
261,Data Scientist,"Avenue Code is the leading software consultancy focused on delivering end-to-end development solutions for digital transformation across every vertical. We’re privately held, profitable, and have been on a solid growth trajectory since day one. We care deeply about our clients, our partners, and our people. We prefer the word ‘partner’ over ‘vendor’, and our investment in professional relationships is a reflection of that philosophy. We pride ourselves on our technical acumen, our collaborative problem-solving ability, and the warm professionalism of our teams.


About the opportunity:
We are seeking for a Data Scientist willed to explore and model linguistic data derived from landing pages in order to maximize relevancy and conversion building new pages.","Avenue Code
4.2",Canada
262,Data Scientist,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.
Job Description
Job Summary (Primary purpose of this Role):
Manulife ’s bold ambition i s to become a digital, customer leader. As part of this ambition, we have made a significant investment in Advanced Analytics and AI capabilities. Recently, we have created the Advanced Customer Analytics Centre of Expertise.
The purpose of this team is to research , build , and deliver cutting edge capabilities to better know our customer, understand their financial and health needs and objectives, and create personalized experiences.","Manulife
4.0",Midtown Toronto
263,Data Scientist,"At Metricsflow, we work to shape the future of data attribution for a new kind of relationship between customers and companies. Advocating for privacy-first practices and a smarter, deeper, and non-invasive customer learning, Metricsflow innovates using machine learning and AI technology to equip businesses with the right tools. If you are passionate about the internet and how data is treated, you’ve found the right place.

Metricsflow is seeking an exceptional individual to serve as a Data Scientist. The successful candidate will work closely with the product and engineering team to translate technological and customer requirements into valuable features that ensure a great user experience.

Responsibilities:",Metricsflow Inc,St. John's
264,Data Scientist,"Introduction
We’re looking for a talented, independent and innovative person to join our team in Calgary, Edmonton, Vancouver, Victoria or Toronto! As a Data Scientist, you’ll be managing the data pipeline, database, and methodologies of LoKnow’s newest data product, RainBarrel. Reporting to the Product Manager, this is an exciting opportunity to lead a new adtech product in a fast-growing industry from the ground up.

Company
We’re LoKnow – an advertising-tech and data company that helps brands deliver their message to the right audience, in the right place, at the right time. With five offices across Canada, we help clients, both in Canada and internationally, experience the extraordinary benefits of digital advertising technology. Our Vision is for everyone to access, benefit from, and love the vast world of digital advertising.","LoKnow
5.0",Midtown Toronto
265,Product Data Scientist,"The Company You’ll Join
At Carta we create owners and make private markets liquid.
We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they’ve managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.
At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.","Carta
3.9",Waterloo
266,Junior Data Scientist,"Reporting to the Technical Manager, Digital Products, the Junior Data Scientist works as part of a team to analyze structured and unstructured data, model complex problems, and identify opportunities for process and product optimization by using statistical, algorithmic, mining, and visual techniques. This role assists in developing machine learning (ML) predictive and prescriptive analytics models through the innovative understanding and use of large data sets and the verification of effectiveness to improve clinical processes and patient outcomes. The Junior Data Scientist supports Providence Health Care (PHC) strategic priorities by understanding the clinical, financial, and operational issues to be solved and working closely with stakeholders, clinical and technical experts, and functional teams to leverage knowledge, interpret outputs, deploy solutions, and provide actionable insights. The role also assists in developing a solid and sustainable machine learning foundation and competency for PHC.
Skills
A Masters’ Degree in Mathematics, Statistics, Computer Science, Engineering or other quantitative degree is required plus three (3) years’ experience working with large datasets and machine learning models including experience using statistical and data mining techniques, and distributed data/computing tools; writing computer code; querying databases; and using statistical computer languages, or an equivalent combination of education, training and experience.
1. Assists in transforming data into critical information and knowledge by working as part of the digital products team and with clinical management and staff, project/program managers, and members of the health informatics team to develop and implement ML Models. Uses these advanced ML models to identify patterns, trends, and opportunities to assist in making predictions or reducing workload that will have a significant impact across various clinical domains within PHC.

2. Identifies, cleans, and integrates large sets of structured and unstructured datasets from disparate sources for use in ML models and products. Enhances data collection procedures to include information that is relevant for building advanced ML models. Provides input to applications, databases, and systems used to assess study data quality.

3. Works as part of the digital products team to use advanced ML processes to convert data from non-functional forms, such as scanned image text, to functional forms ready for use in further ML models.

4. Assists in developing predictive and prescriptive analytic models in support of the organization’s clinical and business initiatives and priorities by working as part of the digital products team to apply advanced statistical and computational methods and innovative use of data, collaborate with Developers in the construction of analytic models, and maintain detailed project status plans to achieve ML development cycle timelines and avoid development delays.

5. Reviews clinical data at aggregate levels on a regular basis using analytical reporting tools to support the identification of risks and data patterns or trends. Creates analytical reports and presentations to facilitate review and adoption of data-driven choices. Collaborates with project/program teams to address data-related questions and to recommend potential solutions.

6. Works with other members of the digital products team to assist with recommendations to management regarding strategic actions to maintain the ML development pipeline, analytic architectures, and life cycle, to avoid potential negative consequences and system failures, and to increase the positive impacts of ML systems.

7. Works closely with clinical and management teams across PHC to strategize, develop, and implement artificial intelligence (AI) products that translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies, and process improvements.

8. Identifies, engages, and collaborates with specific stakeholders as required for the development of AI products designed around PHC’s strategic priorities and clinical/business problems. Assesses and implements improvements to AI products as needed and creates anomaly detection systems to track performance and data accuracy.

9. Assists the digital product team members to communicate analytic solutions to management and shares AI product status throughout the various stages of the product lifecycle.

10. Works with other members of the digital products team to support management in the development of strategies for scaling successful projects across the organization based on feedback from clinical/business clients and end-users by maintaining project and other documentation, reviewing findings, and presenting analysis and actionable insights for further discussion and decision.

11. Assists data scientists in fostering and developing a solid and sustainable machine learning foundation and competency for PHC. Assists management with the dissemination of successes and failures in an effort to increase analytics literacy and adoption across PHC.

12. Keeps up-to-date with the latest technology trends and methods by staying abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization.

13. Performs other related duties as required.","Providence Health Care
4.1",Vancouver
267,Data Scientist,"Who We Are
Lightspark is an innovative cleantech company, bringing innovative technology solutions to consumers, trade, utilities and government to help make a more sustainable future. We are building a dynamic enterprise software-as-a-service platform and are looking for people with a passion, curiosity and purpose for using their skills and creativity to make the world a better place.
Who You Are
You have a passion for putting your analytical data skills towards solving complex problems with a focus on geo-spatial techniques, working well with teams, and fighting hard to meet deadlines and build break-out products.",Lightspark,Vancouver
